Cafenummer;Naam;Adres;Postcode;Plaats;PostadresAdres;PostadresPostcode;PostadresPlaats;Telefoon;Website;Emailadres
C210;"Café De Driesprong";"Koninginnelaan 28";"6542 ZT";Nijmegen;"Koninginnelaan 28";"6542 ZT";Nijmegen;06-46848182;;
C243;"West End";"Molenweg 145";"6543 VB";Nijmegen;"Molenweg 145";"6543 VB";Nijmegen;024-3771312;;
C281;"Tennisvereniging Lindenholt";"De Wellenkamp 11-50";"6545 NC";Nijmegen;"De Wellenkamp 11-50";"6545 NC";Nijmegen;"024 3783783";;
C056;"Sporthal De Kloosterhof";"Kapittelweg 2a";"6551 EB";Weurt;"Kapittelweg 2a";"6551 EB";Weurt;024-6772018;;
C008;"Café Bar De Comm";"Dorpstraat 12";"6562 AB";Groesbeek;"Dorpstraat 12";"6562 AB";Groesbeek;024-3975043;;
C042;"Ut Huu-ske";"Kloosterstraat 8";"6562 AW";Groesbeek;"Kloosterstraat 8";"6562 AW";Groesbeek;06-11875791;;
C266;"Café Zaal Hopmans";"Hoge Horst 56";6562LE;Groesbeek;"Hoge Horst 56";6562LE;Groesbeek;024-3971766;;
C038;"Janssen & Janssen";"Heerbaan 55";"6566 ED";"Millingen a/d Rijn";"Heerbaan 55";"6566 ED";"Millingen a/d Rijn";0650276924;;
C263;"Dorpshuis de Sprong";"Prins Bernardstraat 3";"6576 BB";Ooij;"Prins Bernardstraat 3";"6576 BB";Ooij;0246631932;;
C233;"Heumens Bos";"Vosseneindseweg 46";"6582 BR ";Heumen;"Vosseneindseweg 46";"6582 BR ";Heumen;06-83708822;;
C023;"De Typhoon";"Markt 8";"6591 BZ";Gennep;"Markt 8";"6591 BZ";Gennep;0485-512626;;
C149;"Het Centrum Milsbeek";"Kerkstraat 21";"6596 AK";Milsbeek;"Kerkstraat 21";"6596 AK";Milsbeek;0485-516324;;
C256;"Café De Klok";"Kleefseweg 26";"6599 AC";Ven-Zelderheide;"Kleefseweg 26";"6599 AC";Ven-Zelderheide;0485-212721;;
C273;"Café ZUS";"Spoorstraat 4";"6602 AZ";Wijchen;"Spoorstraat 4";"6602 AZ";Wijchen;0621268905;;
C244;"V.V. Alverna";"Bospad 5";"6603 AR";Wijchen;"Bospad 5";"6603 AR";Wijchen;024-6413010;;
C021;"Café De Teersdijk";"Graafseweg 985";"6603 CH";Wijchen;"Graafseweg 985";"6603 CH";Wijchen;024-6412529;;
C132;"De Zon";"Hoogstraat 56";"6611 BZ";Overasselt;"Hoogstraat 56";"6611 BZ";Overasselt;024-6221584;;
C185;"Dorpshuis De Hucht";"Schoolstraat 4";"6626 AC";Alphen;"Schoolstraat 4";"6626 AC";Alphen;0487-561714;;
C279;"De Horst";"Rijdt 38";"6631 AT";Horssen;"Rijdt 38";"6631 AT";Horssen;0487541607;;
C106;"Sportcafé De Vrijboom";"van Heemstraweg 66b";"6641 AG";Beuningen;"van Heemstraweg 66b";"6641 AG";Beuningen;06-51283944;;jcmc.megens@chello.nl
C009;"De Doorkijk";"Langstuk 2";"6651 HZ";Druten;"Langstuk 2";"6651 HZ";Druten;0487-516363;;
C198;"VTC Wamel";"Clarissenstraat 2";"6659 BN";Wamel;"Clarissenstraat 2";"6659 BN";Wamel;"06 242 806 26 ";0;0
C170;"DC De Rijnvogels";"Drielse Rijndijk 61a";"6667 LP";Driel;"Drielse Rijndijk 61a";"6667 LP";Driel;06-53334614;;
C213;"Café De Posthoorn";"Tielsestraat 215";"6673 AC";Andelst;"Tielsestraat 215";"6673 AC";Andelst;0488-451404;;
C201;"De Viersprong";"Reethsestraat 1";"6675 CE";Valburg;"Reethsestraat 1";"6675 CE";Valburg;0488-431234;;
C209;"S.V. Op De Korrel";"Sportlaan 1E";"6681 CD";Bemmel;"Sportlaan 1E";"6681 CD";Bemmel;0481-464753;;
C028;"Dorpshuis De Tichel";"Kolkweg 5 A";"6685 BC";Haalderen;"Kolkweg 5 A";"6685 BC";Haalderen;0481-464409;;
C014;"De Klok";"Markt 1";"6691 BK";Gendt;"Markt 1";"6691 BK";Gendt;0481-421551;;
C216;"Café de Keijzer";"Edeseweg 73";"6721 JR";Bennekom;"Edeseweg 73";"6721 JR";Bennekom;0318-415802;;
C261;Dubbel10;"Varkensstraat 41";"6811 GN";Arnhem;"Varkensstraat 41";"6811 GN";Arnhem;"026 2130501";https://dubbel10.nl/;" info@dubbel10.nl"
C259;"Camping De Lindenhof";"Wolfhezerweg 111";"6874 AD";Wolfheze;"Wolfhezerweg 111";"6874 AD";Wolfheze;"06 53981908";;
C271;"Café van Dorth";"Rijksweg 19";"6921 AB";Duiven;"Rijksweg 19";"6921 AB";Duiven;0316-261283;;
C193;"Partycentrum Ons Huis";"Mr. B. van Leeuwenplein 7";"6991 EW";Rheden;"Mr. B. van Leeuwenplein 7";"6991 EW";Rheden;026-4952019;;
